ANO_SAEB;CO_UF;NO_UF;CO_MUNICIPIO;NO_MUNICIPIO;DEPENDENCIA_ADM;LOCALIZACAO;MEDIA_5_LP;MEDIA_5_MT;MEDIA_9_LP;MEDIA_9_MT;MEDIA_12_LP;MEDIA_12_MT;nivel_0_LP5;nivel_1_LP5;nivel_2_LP5;nivel_3_LP5;nivel_4_LP5;nivel_5_LP5;nivel_6_LP5;nivel_7_LP5;nivel_8_LP5;nivel_9_LP5;nivel_0_MT5;nivel_1_MT5;nivel_2_MT5;nivel_3_MT5;nivel_4_MT5;nivel_5_MT5;nivel_6_MT5;nivel_7_MT5;nivel_8_MT5;nivel_9_MT5;nivel_10_MT5;nivel_0_LP9;nivel_1_LP9;nivel_2_LP9;nivel_3_LP9;nivel_4_LP9;nivel_5_LP9;nivel_6_LP9;nivel_7_LP9;nivel_8_LP9;nivel_0_MT9;nivel_1_MT9;nivel_2_MT9;nivel_3_MT9;nivel_4_MT9;nivel_5_MT9;nivel_6_MT9;nivel_7_MT9;nivel_8_MT9;nivel_9_MT9;nivel_0_LP12;nivel_1_LP12;nivel_2_LP12;nivel_3_LP12;nivel_4_LP12;nivel_5_LP12;nivel_6_LP12;nivel_7_LP12;nivel_8_LP12;nivel_0_MT12;nivel_1_MT12;nivel_2_MT12;nivel_3_MT12;nivel_4_MT12;nivel_5_MT12;nivel_6_MT12;nivel_7_MT12;nivel_8_MT12;nivel_9_MT12;nivel_10_MT12;nivel_0_LP13;nivel_1_LP13;nivel_2_LP13;nivel_3_LP13;nivel_4_LP13;nivel_5_LP13;nivel_6_LP13;nivel_7_LP13;nivel_8_LP13;nivel_0_MT13;nivel_1_MT13;nivel_2_MT13;nivel_3_MT13;nivel_4_MT13;nivel_5_MT13;nivel_6_MT13;nivel_7_MT13;nivel_8_MT13;nivel_9_MT13;nivel_10_MT13;nivel_0_LP14;nivel_1_LP14;nivel_2_LP14;nivel_3_LP14;nivel_4_LP14;nivel_5_LP14;nivel_6_LP14;nivel_7_LP14;nivel_8_LP14;nivel_0_MT14;nivel_1_MT14;nivel_2_MT14;nivel_3_MT14;nivel_4_MT14;nivel_5_MT14;nivel_6_MT14;nivel_7_MT14;nivel_8_MT14;nivel_9_MT14;nivel_10_MT14
2023;25;Paraíba;2507804;Junco do Seridó;Total - Federal  Estadual  Municipal e Privada;Total;197.03;205.66;254.34;241.45;252.46;265.3;8.71;13.4;18.63;13.31;15.4;10.24;11.61;6.93;1.77;;6.7;10.24;13.56;20.24;11.93;16.78;8.47;6.93;3.54;1.61;;16.53;10.26;17.61;14.04;23.9;16.42;1.26;;;14.04;17.52;25.29;19.08;17.81;6.25;;;;;19.05;42.86;19.05;4.76;9.52;4.76;;;;19.05;14.29;28.57;19.05;4.76;14.29;;;;;;25;18.75;6.25;18.75;12.5;12.5;6.25;;;6.25;18.75;25;31.25;6.25;12.5;;;;;;21.35;33.55;14.11;10.16;10.67;7.75;2.41;;;14.11;16.01;27.19;23.76;5.34;13.6;;;;;
2023;25;Paraíba;2507804;Junco do Seridó;Total - Federal  Estadual  Municipal e Privada;Urbana;197.03;205.66;254.34;241.45;252.46;265.3;8.71;13.4;18.63;13.31;15.4;10.24;11.61;6.93;1.77;;6.7;10.24;13.56;20.24;11.93;16.78;8.47;6.93;3.54;1.61;;16.53;10.26;17.61;14.04;23.9;16.42;1.26;;;14.04;17.52;25.29;19.08;17.81;6.25;;;;;19.05;42.86;19.05;4.76;9.52;4.76;;;;19.05;14.29;28.57;19.05;4.76;14.29;;;;;;25;18.75;6.25;18.75;12.5;12.5;6.25;;;6.25;18.75;25;31.25;6.25;12.5;;;;;;21.35;33.55;14.11;10.16;10.67;7.75;2.41;;;14.11;16.01;27.19;23.76;5.34;13.6;;;;;
2023;25;Paraíba;2507804;Junco do Seridó;Estadual;Total;;;;;252.46;265.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19.05;42.86;19.05;4.76;9.52;4.76;;;;19.05;14.29;28.57;19.05;4.76;14.29;;;;;;25;18.75;6.25;18.75;12.5;12.5;6.25;;;6.25;18.75;25;31.25;6.25;12.5;;;;;;21.35;33.55;14.11;10.16;10.67;7.75;2.41;;;14.11;16.01;27.19;23.76;5.34;13.6;;;;;
2023;25;Paraíba;2507804;Junco do Seridó;Estadual;Urbana;;;;;252.46;265.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19.05;42.86;19.05;4.76;9.52;4.76;0;0;0;19.05;14.29;28.57;19.05;4.76;14.29;0;0;0;0;0;25;18.75;6.25;18.75;12.5;12.5;6.25;0;0;6.25;18.75;25;31.25;6.25;12.5;0;0;0;0;0;21.35;33.55;14.11;10.16;10.67;7.75;2.41;0;0;14.11;16.01;27.19;23.76;5.34;13.6;0;0;0;0;0
2023;25;Paraíba;2507804;Junco do Seridó;Municipal;Total;197.03;205.66;254.34;241.45;;;8.71;13.4;18.63;13.31;15.4;10.24;11.61;6.93;1.77;;6.7;10.24;13.56;20.24;11.93;16.78;8.47;6.93;3.54;1.61;;16.53;10.26;17.61;14.04;23.9;16.42;1.26;;;14.04;17.52;25.29;19.08;17.81;6.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023;25;Paraíba;2507804;Junco do Seridó;Municipal;Urbana;197.03;205.66;254.34;241.45;;;8.71;13.4;18.63;13.31;15.4;10.24;11.61;6.93;1.77;0;6.7;10.24;13.56;20.24;11.93;16.78;8.47;6.93;3.54;1.61;0;16.53;10.26;17.61;14.04;23.9;16.42;1.26;0;0;14.04;17.52;25.29;19.08;17.81;6.25;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023;25;Paraíba;2507804;Junco do Seridó;Total - Estadual e Municipal;Total;197.03;205.66;254.34;241.45;252.46;265.3;8.71;13.4;18.63;13.31;15.4;10.24;11.61;6.93;1.77;;6.7;10.24;13.56;20.24;11.93;16.78;8.47;6.93;3.54;1.61;;16.53;10.26;17.61;14.04;23.9;16.42;1.26;;;14.04;17.52;25.29;19.08;17.81;6.25;;;;;19.05;42.86;19.05;4.76;9.52;4.76;;;;19.05;14.29;28.57;19.05;4.76;14.29;;;;;;25;18.75;6.25;18.75;12.5;12.5;6.25;;;6.25;18.75;25;31.25;6.25;12.5;;;;;;21.35;33.55;14.11;10.16;10.67;7.75;2.41;;;14.11;16.01;27.19;23.76;5.34;13.6;;;;;
2023;25;Paraíba;2507804;Junco do Seridó;Total - Estadual e Municipal;Urbana;197.03;205.66;254.34;241.45;252.46;265.3;8.71;13.4;18.63;13.31;15.4;10.24;11.61;6.93;1.77;;6.7;10.24;13.56;20.24;11.93;16.78;8.47;6.93;3.54;1.61;;16.53;10.26;17.61;14.04;23.9;16.42;1.26;;;14.04;17.52;25.29;19.08;17.81;6.25;;;;;19.05;42.86;19.05;4.76;9.52;4.76;;;;19.05;14.29;28.57;19.05;4.76;14.29;;;;;;25;18.75;6.25;18.75;12.5;12.5;6.25;;;6.25;18.75;25;31.25;6.25;12.5;;;;;;21.35;33.55;14.11;10.16;10.67;7.75;2.41;;;14.11;16.01;27.19;23.76;5.34;13.6;;;;;
2023;25;Paraíba;2507804;Junco do Seridó;Total - Federal  Estadual e Municipal;Total;197.03;205.66;254.34;241.45;252.46;265.3;8.71;13.4;18.63;13.31;15.4;10.24;11.61;6.93;1.77;;6.7;10.24;13.56;20.24;11.93;16.78;8.47;6.93;3.54;1.61;;16.53;10.26;17.61;14.04;23.9;16.42;1.26;;;14.04;17.52;25.29;19.08;17.81;6.25;;;;;19.05;42.86;19.05;4.76;9.52;4.76;;;;19.05;14.29;28.57;19.05;4.76;14.29;;;;;;25;18.75;6.25;18.75;12.5;12.5;6.25;;;6.25;18.75;25;31.25;6.25;12.5;;;;;;21.35;33.55;14.11;10.16;10.67;7.75;2.41;;;14.11;16.01;27.19;23.76;5.34;13.6;;;;;
2023;25;Paraíba;2507804;Junco do Seridó;Total - Federal  Estadual e Municipal;Urbana;197.03;205.66;254.34;241.45;252.46;265.3;8.71;13.4;18.63;13.31;15.4;10.24;11.61;6.93;1.77;;6.7;10.24;13.56;20.24;11.93;16.78;8.47;6.93;3.54;1.61;;16.53;10.26;17.61;14.04;23.9;16.42;1.26;;;14.04;17.52;25.29;19.08;17.81;6.25;;;;;19.05;42.86;19.05;4.76;9.52;4.76;;;;19.05;14.29;28.57;19.05;4.76;14.29;;;;;;25;18.75;6.25;18.75;12.5;12.5;6.25;;;6.25;18.75;25;31.25;6.25;12.5;;;;;;21.35;33.55;14.11;10.16;10.67;7.75;2.41;;;14.11;16.01;27.19;23.76;5.34;13.6;;;;;
